"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"652188fdb8d09f199851005c","792e785e-60db-4ece-a648-5007131b5a32","PHYSICAL","shop","marcum-grey","Marcum Grey (Trouser)","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Medium Grey</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Grey Resin Button</p>","SQ9751130","","","","","","","","","","","","","495.00","0.00","No","Unlimited","/trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696696644809-XG8PETPCJA3GYNT3GZEF/70EBCE31-B85E-49B5-A20C-58547A640D82_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696696743392-OYG2TN5O5HG9VPJRRQHK/WL2233010.jpg"
"652194d05d0d443c8af7a429","041fd9ae-40de-4b94-b226-c85c75189960","PHYSICAL","shop","marcum-grey-57lwy","Richard Blue (Trouser)","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Blue</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Charcoal Grey, Brown Real Horn</p>","SQ3741337","","","","","","","","","","","","","495.00","0.00","No","Unlimited","/trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696700425325-4MN48GIHRPK3EA7Z8R3J/1346AF63-E6CD-42CE-ABDE-ECA067DC0241_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696700484525-YQCS2CT9LWCX70PGZT91/WL2233023.jpg"
"652199fedc5f36508ba76a44","d0437aaa-dced-431c-bdb8-def1754aea5a","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck-d33zm-68x5z","Latte Brown (Trouser)","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Light Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Brown Corozo Button</p>","SQ5386138","","","","","","","","","","","","","495.00","0.00","No","Unlimited","/trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696701074549-IO9EAJB6EE96DFS18QH8/WL2233006_Brown_Pant.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696701015074-I53UPP9VHDNAHSZTEVTT/WL2233006.jpg"
"65219ac7919e496206502572","fe34f492-3071-4dd5-a24e-3dbb4dc1d19a","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck-y2mfh","Hershey Brown (Trouser)","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Chocolate Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons:  </em></strong>Brown Real Horn </p>","SQ4860088","","","","","","","","","","","","","495.00","0.00","No","Unlimited","/trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696021019204-A6KVOZCYY3681Z061FXI/7DD0CA6D-8C16-4E0E-9B3B-5DE576C2FF1E_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696701194718-CANQ5Z3GYKLZ7BL2TFTJ/WL2233008.jpg"
"65219b8167e0544a96d4b6f3","5735717b-2ffe-42df-b5de-ea80691ee506","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-h57hy","Forest Green (Trouser)","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Forest Green</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Dark Brown Real Horn </p>","SQ7817674","","","","","","","","","","","","","495.00","0.00","No","Unlimited","/trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696020910305-JJ9IM2KXCV9BD46CV9HR/56061B3B-72CF-46F6-92BD-1C45049E069A_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696701363333-6WT8MMLYDHX5QQDN8JBW/WL2233054.jpg"
"65219c1d0096da4156002116","20e76ce3-4b3d-4382-985b-63c76c75304b","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-twg4f","Ecru Sand (Trouser)","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Ecru </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Ecru Urea Button</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","SQ8172675","","","","","","","","","","","","","495.00","0.00","No","Unlimited","/trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696017992524-1V5E3RT1ABM58NB1UGQG/BBCF5AC2-9547-461C-AD65-820F9174D7C5_1_201_a.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696702472349-2N3QK3EOCQAG0667Q5MT/WL2233005.jpg"
"65219cd8215c93572b0e4a21","6e6d35aa-d64e-4953-9472-3ec86025b318","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-dd3bs","East Brown (Trouser)","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Copper Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Brown Real Horn </p>","SQ1165882","","","","","","","","","","","","","495.00","0.00","No","Unlimited","/trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696701977075-QHPHNFFSTGPWD2TAUNJX/873F7CDC-AEF5-420A-8745-A164D6A7BAFB_1_105_c.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696701915387-1SQOM5XZMSC5ZY5J04QN/WL2233007.jpg"
"65219e597f111d4f20ae254d","a838d6ac-c98e-4041-8821-29d33e97e9c1","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-46k93","Cobalt Blue (Trouser)","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Cobalt </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Charcoal, Brown Real Horn</p>","SQ6667772","","","","","","","","","","","","","495.00","0.00","No","Unlimited","/trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696016211941-FKLTFHSVB4ALHT2FWZXF/B15F0598-8DC4-4F18-86D6-5CF2FB07FB41_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696702093031-Y6TIXLPS2XJG43LD6D52/WL2233018.jpg"
"65219efabe7034339e9d8e61","f8b23ad6-65e7-4a65-9983-78087f2b76b5","PHYSICAL","shop","barry-black-two-piece-suit-6ga7j","Barry Black (Trouser)","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Black</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Black Resin</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","SQ8380115","","","","","","","","","","","","","495.00","0.00","No","Unlimited","/trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696015748255-K2F070CCS0W2FEKJEB3O/CB3BC3FB-43BC-4D46-92CC-1A3D0C5D0F21_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696702219258-2JLGTWP3LX11M3SY5FSV/WL2233035.jpg"
"65219f6094d6c3537b34a56d","5229d324-2eb1-4899-8e85-daee32b9a0f2","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-zfcpx","Cloud Grey (Trouser)","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Light Grey</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons:  </em></strong>Grey Resin </p>","SQ2411682","","","","","","","","","","","","","495.00","0.00","No","Unlimited","/trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696014035243-CL6UXWUFHJOCO88PAPTM/7D82E646-E61C-42A8-ADE4-D901F419E901_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696702349308-JW5LWTKQBMHZ7CLP63SV/WL2233001.jpg"
"65300a90a47f3b3d0ddc6990","a98037f2-423a-40a6-b499-6d412d9d337f","PHYSICAL","shop","bespoke-suit","Bespoke Suit","<p class="""" style=""white-space:pre-wrap;""><em>Price of Garment Reflect on the minimal cost of the suit. </em></p>","SQ6480337","","","","","","","","","","","","","3000.00","0.00","No","Unlimited","/mtm-bespoke, /suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1697647283774-GU8ZOH2BPWQN36FG7AZP/pexels-tima-miroshnichenko-6764954+%281%29.jpg"
"65300b2ea47f3b3d0ddc6a39","8f11f27d-fe77-4903-83fa-6444223dfb45","PHYSICAL","shop","made-to-measure-suit","Made-To-Measure Suit","<p class="""" style=""white-space:pre-wrap;""><em>Price of Garment reflect on the minimal cost of the suit. </em></p>","SQ3973043","","","","","","","","","","","","","1500.00","0.00","No","Unlimited","/mtm-bespoke, /suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/bc83a47a-669c-428b-b550-dd98a7d0c657/IMG_4203_Original.jpg"
"65300c03a2028366a6f61023","55f55e74-4a0e-41ac-a46a-26f4f0eafdeb","PHYSICAL","shop","mtmbespoke-trousers","MTM/Bespoke (Trousers)","<p class="""" style=""white-space:pre-wrap;""><em>Price of Garment Reflect on the minimal cost of the trousers. </em></p>","SQ0325821","","","","","","","","","","","","","440.00","0.00","No","Unlimited","/mtm-bespoke, /trousers","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1697647686911-L8K9MI1YOB1PI0S0V6XY/_MG_0074.jpg"
"65300cf58b41b94fac502f21","5680b6cb-5b45-48c0-9b2f-9b8f87525cf7","PHYSICAL","shop","mtmbespoke-shirts","MTM/Bespoke Shirts","<p class="""" style=""white-space:pre-wrap;""><em>Price of Garment Reflect on the minimal cost of the shirt. </em></p>","SQ4554207","","","","","","","","","","","","","205.00","0.00","No","Unlimited","/mtm-bespoke","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1697647886837-H7GXX2H06H7ETUN6AXCK/IMG_926F2C7199E5-1.jpeg"
"65300eee019130531df4c30f","211f997a-018a-4472-bbd9-6b701f46fd9a","PHYSICAL","shop","mtm-waistcoat","MTM Waistcoat","<p class="""" style=""white-space:pre-wrap;""><em>Price of Garment Reflect on the minimal cost of the waistcoat. </em></p>","SQ2684568","","","","","","","","","","","","","440.00","0.00","No","Unlimited","/mtm-bespoke, /waistcoats","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1697648426765-C1O819953GGNC4MRCVI5/pexels-tima-miroshnichenko-6766245.jpg"
"653c35b0c25cc252583a6723","e3861bba-580a-4ac1-a6aa-ef4fae60e7c1","PHYSICAL","shop","made-to-measure-suit-zk3xs","MTM Overcoat","<p class="""" style=""white-space:pre-wrap;""><em>Price of Garment reflect on the minimal cost of the overcoat. </em></p>","SQ8100423","","","","","","","","","","","","","800.00","0.00","No","Unlimited","/mtm-bespoke, /suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1698444885346-EFYX1EANLIXV3AGT9PC6/PHOTO-2021-11-06-04-32-54.jpg"
"6635ab1661689a56db483e92","7aad6220-4d8c-4e7e-b821-4fc2120c661a","PHYSICAL","shop","alteration","Alteration","","SQ6197648","","","","","","","","","","","","","120.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","No",""
"684a235db91f060aa5227343","e943c1c7-83a8-4885-a25a-f9839c6bb5d8","PHYSICAL","shop","habe-club-peak-lapel","HABE Club ""Peak Lapel""","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">See your garment in 3D before you purchase.</p>","SQ8976872","","","","","","","","","","","","","1500.00","0.00","No","1","","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/3b006e47-f850-4855-9166-bacd39c16d59/IMG_7934.PNG https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/e6c141ef-432b-4bbe-bb69-261327e5ff57/ChatGPT+Image+Jun+9%2C+2025%2C+02_54_54+PM.png https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/7f4c4ac7-b776-4dc4-b04f-ade64baf96d7/ChatGPT+Image+Jun+9%2C+2025%2C+02_52_20+PM.png"
